task,attempt_id,method,old_cost,new_cost,delta_cost,old_points,new_points,delta_points,local_valid,artifact_path,accepted,notes
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,28483,0.0,,14.742937302942996,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,193453,-164970.0,,12.827210132108412,,True,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,181117,-152634.0,,12.893101489744463,,True,data/interim/submission1_compare/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,191458,-162975.0,,12.837576257600388,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,466172,-437689.0,,11.947690056279944,,True,data/external/public_bundles/octaviograu_manual_rewrites_v205/extracted/submission/task158.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,26909,0.0,,14.799783917876258,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,168431,-141522.0,,12.965718550640606,,True,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,162199,-135290.0,,13.00342074458367,,True,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,474810,-447901.0,,11.929329997004562,,True,data/interim/afr1ste_6335_batchcompress_rewrite/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,,,,,,False,data/external/datasets/afr1ste_6335/task286.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,25394,0.0,,14.857731795370263,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,150548,-125154.0,,13.07796275080141,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,306339,-280945.0,,12.367552389133587,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,378352,-352958.0,,12.15641974178056,,True,data/interim/afr1ste_6335_batchcompress_rewrite/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,,,,,,False,data/external/datasets/afr1ste_6335/task054.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,14642,0.0,,15.408350609793413,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task364.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task364.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,157388,-142746.0,,13.03353062682272,,True,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task364.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,77859,-63217.0,,13.737345222483407,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task364.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,77876,-63234.0,,13.737126902901199,,True,data/external/public_bundles/octaviograu_manual_rewrites_v205/extracted/submission/task364.onnx,False,
task349,artifact_scan_top5,public/local_artifact_reuse_full_validate,14892.0,14892,0.0,,15.391420565007392,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task349.onnx,False,
task349,artifact_scan_top5,public/local_artifact_reuse_full_validate,14892.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task349.onnx,False,
task349,artifact_scan_top5,public/local_artifact_reuse_full_validate,14892.0,49481,-34589.0,,14.190655963511865,,True,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task349.onnx,False,
task349,artifact_scan_top5,public/local_artifact_reuse_full_validate,14892.0,323060,-308168.0,,12.31440665653225,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task349.onnx,False,
task349,artifact_scan_top5,public/local_artifact_reuse_full_validate,14892.0,44079,-29187.0,,14.306261242455944,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task349.onnx,False,
task077,artifact_scan_top5,public/local_artifact_reuse_full_validate,7657.0,7657,0.0,,16.056624458886876,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task077.onnx,False,
task077,artifact_scan_top5,public/local_artifact_reuse_full_validate,7657.0,155896,-148239.0,,13.043055602756029,,True,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task077.onnx,False,
task077,artifact_scan_top5,public/local_artifact_reuse_full_validate,7657.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task077.onnx,False,
task077,artifact_scan_top5,public/local_artifact_reuse_full_validate,7657.0,157494,-149837.0,,13.032857358715912,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task077.onnx,False,
task077,artifact_scan_top5,public/local_artifact_reuse_full_validate,7657.0,151461,-143804.0,,13.071916554950707,,True,data/interim/submission1_compare/task077.onnx,False,
task096,artifact_scan_top5,public/local_artifact_reuse_full_validate,7678.0,7678,0.0,,16.053885624439257,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task096.onnx,False,
task096,artifact_scan_top5,public/local_artifact_reuse_full_validate,7678.0,29368,-21690.0,,14.71233907482333,,True,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task096.onnx,False,
task096,artifact_scan_top5,public/local_artifact_reuse_full_validate,7678.0,,,,,,False,data/external/datasets/afr1ste_6335/task096.onnx,False,
task096,artifact_scan_top5,public/local_artifact_reuse_full_validate,7678.0,29368,-21690.0,,14.71233907482333,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task096.onnx,False,
task096,artifact_scan_top5,public/local_artifact_reuse_full_validate,7678.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task096.onnx,False,
task009,artifact_scan_top5,public/local_artifact_reuse_full_validate,6694.0,6694,0.0,,16.191033118228727,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task009.onnx,False,
task009,artifact_scan_top5,public/local_artifact_reuse_full_validate,6694.0,461816,-455122.0,,11.957078177664314,,True,data/interim/afr1ste_6335_batchcompress_rewrite/task009.onnx,False,
task009,artifact_scan_top5,public/local_artifact_reuse_full_validate,6694.0,,,,,,False,data/external/datasets/afr1ste_6335/task009.onnx,False,
task009,artifact_scan_top5,public/local_artifact_reuse_full_validate,6694.0,115441,-108747.0,,13.343485144081104,,True,data/external/public_kernel_outputs/jonathan_constraint_mix/tmp_build/blend/task009.onnx,False,
task009,artifact_scan_top5,public/local_artifact_reuse_full_validate,6694.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task009.onnx,False,
task383,artifact_scan_top5,public/local_artifact_reuse_full_validate,5830.0,5830,0.0,,16.32922772065546,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task383.onnx,False,
task383,artifact_scan_top5,public/local_artifact_reuse_full_validate,5830.0,127241,-121411.0,,13.246161795004017,,True,data/interim/onnx_surgery/GOLF_20260608_029_seddik_surgery_6272/task383.onnx,False,
task383,artifact_scan_top5,public/local_artifact_reuse_full_validate,5830.0,123525,-117695.0,,13.275801156286049,,True,data/interim/submission1_compare/task383.onnx,False,
task383,artifact_scan_top5,public/local_artifact_reuse_full_validate,5830.0,128140,-122310.0,,13.239121304806988,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task383.onnx,False,
task383,artifact_scan_top5,public/local_artifact_reuse_full_validate,5830.0,129068,-123238.0,,13.231905323758399,,True,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task383.onnx,False,
task382,artifact_scan_top5,public/local_artifact_reuse_full_validate,5695.0,5695,0.0,,16.352656124118717,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task382.onnx,False,
task382,artifact_scan_top5,public/local_artifact_reuse_full_validate,5695.0,94678,-88983.0,,13.541763060380573,,True,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task382.onnx,False,
task382,artifact_scan_top5,public/local_artifact_reuse_full_validate,5695.0,107354,-101659.0,,13.416112936092428,,True,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task382.onnx,False,
task382,artifact_scan_top5,public/local_artifact_reuse_full_validate,5695.0,95578,-89883.0,,13.532302052966461,,True,data/interim/onnx_surgery/GOLF_20260608_029_seddik_surgery_6272/task382.onnx,False,
task382,artifact_scan_top5,public/local_artifact_reuse_full_validate,5695.0,91200,-85505.0,,13.579189823937577,,True,data/interim/submission1_compare/task382.onnx,False,
task278,artifact_scan_top5,public/local_artifact_reuse_full_validate,4505.0,4505,0.0,,16.58705682995756,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task278.onnx,False,
task278,artifact_scan_top5,public/local_artifact_reuse_full_validate,4505.0,25230,-20725.0,,14.864210958364897,,True,data/interim/arc_dsl_task278/task278.onnx,False,
task278,artifact_scan_top5,public/local_artifact_reuse_full_validate,4505.0,34383,-29878.0,,14.55468246483519,,True,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task278.onnx,False,
task278,artifact_scan_top5,public/local_artifact_reuse_full_validate,4505.0,29198,-24693.0,,14.718144507240075,,True,data/interim/submission1_compare/task278.onnx,False,
task278,artifact_scan_top5,public/local_artifact_reuse_full_validate,4505.0,30494,-25989.0,,14.674714778068148,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task278.onnx,False,
task165,artifact_scan_top5,public/local_artifact_reuse_full_validate,4544.0,4544,0.0,,16.578437039599013,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task165.onnx,False,
task165,artifact_scan_top5,public/local_artifact_reuse_full_validate,4544.0,47778,-43234.0,,14.2256794385145,,True,data/interim/submission1_compare/task165.onnx,False,
task165,artifact_scan_top5,public/local_artifact_reuse_full_validate,4544.0,67524,-62980.0,,13.87976163077872,,True,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task165.onnx,False,
task165,artifact_scan_top5,public/local_artifact_reuse_full_validate,4544.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task165.onnx,False,
task165,artifact_scan_top5,public/local_artifact_reuse_full_validate,4544.0,113493,-108949.0,,13.360503560007135,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task165.onnx,False,
task378,artifact_scan_top5,public/local_artifact_reuse_full_validate,3091.0,3091,0.0,,16.963750057867884,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task378.onnx,False,
task378,artifact_scan_top5,public/local_artifact_reuse_full_validate,3091.0,39008,-35917.0,,14.428477967719003,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task378.onnx,False,
task378,artifact_scan_top5,public/local_artifact_reuse_full_validate,3091.0,41000,-37909.0,,14.378672654313554,,True,data/kaggle_code_single_task/extracted_onnx/rauffauzanrambe__neurogolf-champions-arc-best-public-score/task378.onnx,False,
task378,artifact_scan_top5,public/local_artifact_reuse_full_validate,3091.0,67060,-63969.0,,13.886656979979781,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task378.onnx,False,
task378,artifact_scan_top5,public/local_artifact_reuse_full_validate,3091.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task378.onnx,False,
task132,artifact_scan_top5,public/local_artifact_reuse_full_validate,3652.0,3652,0.0,,16.79696975828514,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task132.onnx,False,
task132,artifact_scan_top5,public/local_artifact_reuse_full_validate,3652.0,156767,-153115.0,,13.037484094434872,,True,data/external/public_bundles/beicicc_6645/extracted/task132.onnx,False,
task132,artifact_scan_top5,public/local_artifact_reuse_full_validate,3652.0,41418,-37766.0,,14.368529152068469,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task132.onnx,False,
task132,artifact_scan_top5,public/local_artifact_reuse_full_validate,3652.0,40879,-37227.0,,14.38162823726114,,True,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task132.onnx,False,
task132,artifact_scan_top5,public/local_artifact_reuse_full_validate,3652.0,29458,-25806.0,,14.709279200950512,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task132.onnx,False,
task132,artifact_scan_top5,public/local_artifact_reuse_full_validate,3652.0,,,,,,False,data/interim/afr1ste_6335_batchcompress_rewrite/task132.onnx,False,
task158,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,28483,28483,0,14.742937302942996,14.742937302942996,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task158.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task158,surgery_sim,onnxoptimizer/onnxsim_full_validate,28483,28483,0,14.742937302942996,14.742937302942996,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task158.onnx,False,onnxsim(input=1x10x30x30)
task158,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,28483,28483,0,14.742937302942996,14.742937302942996,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task158.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task286,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,26909,26909,0,14.799783917876258,14.799783917876258,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task286.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task286,surgery_sim,onnxoptimizer/onnxsim_full_validate,26909,26909,0,14.799783917876258,14.799783917876258,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task286.onnx,False,onnxsim(input=1x10x30x30)
task286,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,26909,26909,0,14.799783917876258,14.799783917876258,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task286.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task054,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,25394,25394,0,14.857731795370263,14.857731795370263,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task054.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task054,surgery_sim,onnxoptimizer/onnxsim_full_validate,25394,25394,0,14.857731795370263,14.857731795370263,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task054.onnx,False,onnxsim(input=1x10x30x30)
task054,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,25394,25394,0,14.857731795370263,14.857731795370263,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task054.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task364,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,14642,14642,0,15.408350609793413,15.408350609793413,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task364.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task364,surgery_sim,onnxoptimizer/onnxsim_full_validate,14642,14642,0,15.408350609793413,15.408350609793413,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task364.onnx,False,onnxsim(input=1x10x30x30)
